Image Name,SSIM (Original vs Enhanced),Detected Objects
156859092964.jpg,0.9175129756545874,74
156859512459.jpg,0.9179682869453187,66
156859956420.jpg,0.9163918247872257,67
156860373671.jpg,0.9144637024867214,59
156860795680.jpg,0.9163162703638409,72
156861245135.jpg,0.9157622670623438,59
156861694377.jpg,0.9140727080404855,75
156862114855.jpg,0.9143001343876139,86
156862567343.jpg,0.9143530825053977,89
156863007074.jpg,0.9206959410803257,57
